id,time,time_received,latitude,longitude,altitude,geo_altitude,height,velocity_x,velocity_y,velocity_z,vertical_accuracy,horizontal_accuracy,speed_accuracy,pressure
8115278,2023-04-03 09:01:46+00,2023-04-03 09:01:48.614947+00,50.03171920776367,14.414321899414062,95.56,248.5,-28.65,-21,-0.8,-0.4,4,11,4,1001.825
8115279,2023-04-03 09:01:47+00,2023-04-03 09:01:48.709519+00,50.03171920776367,14.414029121398926,98.29,248,-25.92,-21,0,-0.4,4,11,4,1001.5
8115280,2023-04-03 09:01:48+00,2023-04-03 09:01:48.743408+00,50.0317268371582,14.41374683380127,97.18,248,-27.03,-20,1,-0.2,4,11,4,1001.63125
8115281,2023-04-03 09:01:49+00,2023-04-03 09:01:49.545152+00,50.031742095947266,14.41347885131836,92.67,247.5,-31.54,-19.200000000000003,1.8,-0.2,4,11,4,1002.16875
8115282,2023-04-03 09:01:50+00,2023-04-03 09:01:51.635329+00,50.031768798828125,14.413215637207031,89.52,247.5,-34.69,-18.8,2.8000000000000003,-0.2,4,11,4,1002.54375
8115283,2023-04-03 09:01:51+00,2023-04-03 09:01:51.830798+00,50.031803131103516,14.412955284118652,93.61,247,-30.6,-18.6,3.6,-0.2,4,11,4,1002.0562500000001
8115284,2023-04-03 09:01:52+00,2023-04-03 09:01:52.514353+00,50.03184509277344,14.41269302368164,92.72,246.5,-31.49,-18.6,4.2,-0.2,4,11,4,1002.1625
8115285,2023-04-03 09:01:53+00,2023-04-03 09:01:56.931665+00,50.031890869140625,14.412425994873047,96.34,246,-27.87,-18.8,5.2,-0.2,4,11,4,1001.73125
8115286,2023-04-03 09:01:54+00,2023-04-03 09:01:56.991797+00,50.03194808959961,14.412158012390137,95.29,246,-28.92,-19,6.2,-0.2,4,11,4,1001.85625
8115287,2023-04-03 09:01:55+00,2023-04-03 09:01:57.065557+00,50.03201675415039,14.411892890930176,93.51,245.5,-30.7,-19,7.4,-0.2,4,11,4,1002.06875
8115288,2023-04-03 09:01:56+00,2023-04-03 09:01:57.104781+00,50.0320930480957,14.411626815795898,93.77,245.5,-30.44,-18.8,8.4,-0.2,4,10,4,1002.0375
8115289,2023-04-03 09:01:57+00,2023-04-03 09:02:00.112775+00,50.03217697143555,14.41136646270752,93.35,245,-30.86,-18.6,9.200000000000001,-0.2,4,10,3,1002.0875000000001
8115290,2023-04-03 09:01:58+00,2023-04-03 09:02:00.233719+00,50.03227233886719,14.411109924316406,92.51,244.5,-31.7,-18.2,10.4,-0.2,4,10,4,1002.1875
8115291,2023-04-03 09:01:59+00,2023-04-03 09:02:00.469889+00,50.03237533569336,14.410861015319824,92.46,244.5,-31.75,-17.8,11.200000000000001,0,4,10,4,1002.19375
8115292,2023-04-03 09:02:00+00,2023-04-03 09:02:00.515455+00,50.0324821472168,14.410618782043457,93.45,244.5,-30.76,-17.2,12,0,4,10,3,1002.075
8115293,2023-04-03 09:02:01+00,2023-04-03 09:02:08.99335+00,50.032596588134766,14.410390853881836,89.47,244,-34.74,-16.400000000000002,12.600000000000001,0,4,10,3,1002.5500000000001
8115294,2023-04-03 09:02:02+00,2023-04-03 09:02:09.042828+00,50.032718658447266,14.410171508789062,92.51,244,-31.7,-15.600000000000001,13.200000000000001,0,4,10,4,1002.1875
8115295,2023-04-03 09:02:03+00,2023-04-03 09:02:09.081828+00,50.032840728759766,14.409963607788086,92.09,244,-32.12,-14.8,13.8,0,4,10,4,1002.2375000000001
8115296,2023-04-03 09:02:04+00,2023-04-03 09:02:09.15369+00,50.0329704284668,14.409770011901855,90.1,244,-34.11,-13.8,14.4,0,4,10,4,1002.475
8115297,2023-04-03 09:02:05+00,2023-04-03 09:02:09.199286+00,50.033103942871094,14.409586906433105,90.31,244,-33.9,-13,14.8,0,4,10,3,1002.45
8115298,2023-04-03 09:02:06+00,2023-04-03 09:02:09.236646+00,50.033241271972656,14.409417152404785,91.56,244.5,-32.65,-12,15.200000000000001,0,4,10,3,1002.3000000000001
8115299,2023-04-03 09:02:07+00,2023-04-03 09:02:09.290065+00,50.03338623046875,14.409258842468262,91.46,244.5,-32.75,-11.200000000000001,16,0,4,10,3,1002.3125
8115300,2023-04-03 09:02:08+00,2023-04-03 09:02:09.355264+00,50.033531188964844,14.409109115600586,88.36,244.5,-35.85,-10.8,15.600000000000001,0,4,10,2,1002.6812500000001
8115301,2023-04-03 09:02:09+00,2023-04-03 09:02:13.855444+00,50.0336799621582,14.408967971801758,94.71,245,-29.5,-10,16.6,0,4,10,3,1001.9250000000001
8115302,2023-04-03 09:02:10+00,2023-04-03 09:02:16.984091+00,50.033836364746094,14.408838272094727,91.25,245.5,-32.96,-9,17.400000000000002,0,4,10,3,1002.3375000000001
8115303,2023-04-03 09:02:11+00,2023-04-03 09:02:18.043855+00,50.03400421142578,14.408720016479492,93.14,245.5,-31.07,-8.4,18,-0.2,4,10,3,1002.1125000000001
8115304,2023-04-03 09:02:12+00,2023-04-03 09:02:18.152343+00,50.0341682434082,14.408609390258789,91.51,246,-32.7,-7.800000000000001,18.400000000000002,0,4,10,4,1002.3062500000001
8115305,2023-04-03 09:02:13+00,2023-04-03 09:02:20.739171+00,50.03434371948242,14.408510208129883,92.09,246,-32.12,-7,19,0,4,10,3,1002.2375000000001
8115306,2023-04-03 09:02:14+00,2023-04-03 09:02:21.51876+00,50.03451919555664,14.408424377441406,93.3,246,-30.91,-6,19.400000000000002,0.2,4,10,3,1002.09375
8115307,2023-04-03 09:02:15+00,2023-04-03 09:02:26.240437+00,50.03470230102539,14.40835189819336,93.93,246,-30.28,-5.2,20,0.2,4,10,4,1002.0187500000001
8115308,2023-04-03 09:02:16+00,2023-04-03 09:02:37.877606+00,50.034881591796875,14.408292770385742,96.13,246.5,-28.08,-4.2,20.200000000000003,0.2,4,10,4,1001.75625
8115309,2023-04-03 09:02:17+00,2023-04-03 09:02:37.931725+00,50.03506851196289,14.408247947692871,95.5,246.5,-28.71,-3,20.400000000000002,0.2,4,10,3,1001.8312500000001
8115310,2023-04-03 09:02:18+00,2023-04-03 09:02:38.033852+00,50.035255432128906,14.40821647644043,97.45,247,-26.76,-2.2,20.400000000000002,0.4,4,10,3,1001.6
