id,time,time_received,battery,cellid,rsrp,rsrq,snr,tac,satellites,charging,flight_id
809791,2023-04-03 09:06:03+00,2023-04-03 09:11:34.674635+00,4.019000053405762,1F0A0D00,-99,-5,13,C15E,0,FALSE,a1adff95-ae84-4ce7-b196-6e1bef5d69de
809792,2023-04-03 09:06:18+00,2023-04-03 09:11:34.67738+00,4.00600004196167,1F0A0D00,-94,-10,10,C15E,15,FALSE,a1adff95-ae84-4ce7-b196-6e1bef5d69de
809795,2023-04-03 09:06:33+00,2023-04-03 09:11:34.685358+00,4.007999897003174,1F0A0D00,-121,-11,4,C15E,0,FALSE,a1adff95-ae84-4ce7-b196-6e1bef5d69de
809793,2023-04-03 09:06:48+00,2023-04-03 09:11:34.680022+00,4.008999824523926,1F0A0D00,-126,-11,1,C15E,0,FALSE,a1adff95-ae84-4ce7-b196-6e1bef5d69de
809794,2023-04-03 09:08:04+00,2023-04-03 09:11:34.682772+00,4.006999969482422,21950D00,-97,-6,15,AE38,0,FALSE,a1adff95-ae84-4ce7-b196-6e1bef5d69de
809796,2023-04-03 09:08:19+00,2023-04-03 09:11:34.687996+00,4.004000186920166,21950D00,-74,-10,15,AE38,14,FALSE,a1adff95-ae84-4ce7-b196-6e1bef5d69de
809797,2023-04-03 09:08:35+00,2023-04-03 09:11:34.690534+00,4.006999969482422,21950D00,-69,-8,21,AE38,18,FALSE,a1adff95-ae84-4ce7-b196-6e1bef5d69de
809798,2023-04-03 09:08:50+00,2023-04-03 09:11:34.695759+00,4.005000114440918,21950D00,-78,-16,14,AE38,20,FALSE,a1adff95-ae84-4ce7-b196-6e1bef5d69de
809799,2023-04-03 09:09:05+00,2023-04-03 09:11:34.700337+00,4.014999866485596,21950D00,-91,-10,11,AE38,18,FALSE,a1adff95-ae84-4ce7-b196-6e1bef5d69de
809800,2023-04-03 09:09:20+00,2023-04-03 09:11:34.703126+00,4.007999897003174,21950D00,-103,-17,-1,AE38,18,FALSE,a1adff95-ae84-4ce7-b196-6e1bef5d69de
809801,2023-04-03 09:09:35+00,2023-04-03 09:11:34.705954+00,4.019000053405762,21950D00,-103,-17,-7,AE38,19,FALSE,a1adff95-ae84-4ce7-b196-6e1bef5d69de
809802,2023-04-03 09:10:23+00,2023-04-03 09:11:34.708815+00,4.019000053405762,1F980D00,-104,-13,-4,AE38,16,FALSE,a1adff95-ae84-4ce7-b196-6e1bef5d69de
809803,2023-04-03 09:10:38+00,2023-04-03 09:11:34.711809+00,3.992000102996826,1F980D00,-111,-15,-4,AE38,17,FALSE,a1adff95-ae84-4ce7-b196-6e1bef5d69de
809804,2023-04-03 09:10:53+00,2023-04-03 09:11:34.714663+00,3.992000102996826,1F4B0B00,-114,-11,-1,AE38,16,FALSE,a1adff95-ae84-4ce7-b196-6e1bef5d69de
